,Neg1rep1,Neg1rep2,Neg1rep3,Nov_VK1rep1,Nov_VK1rep2,Nov_VK1rep3,Nov_VK3rep1,Nov_VK3rep2,Nov_VK3rep3,Nov_VK5rep1,Nov_VK5rep2,Nov_VK5rep3,Nov_unenriched1rep1,Nov_unenriched1rep2,Nov_unenriched1rep3,Nov_unenriched2rep1,Nov_unenriched2rep2,Nov_unenriched2rep3,Nov_unenriched3rep1,Nov_unenriched3rep2,Nov_unenriched3rep3
86769,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,6,7,7,8,7,6
202956,2,1,0,9,9,8,8,7,6,7,8,8,6,7,7,8,7,8,9,10,8
209005,10,8,7,11,13,12,14,13,15,9,6,7,14,12,13,12,11,12,11,14,15
318873,2,1,0,6,7,6,7,6,6,5,6,6,8,8,7,10,8,10,10,12,8
374028,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,5,5,6,8,6,4
496339,0,0,0,0,0,0,0,0,0,0,0,0,11,9,13,14,12,10,13,10,6
507999,0,0,0,0,0,0,0,0,0,0,0,0,11,8,11,15,11,9,13,11,5
645785,6,6,6,10,10,10,10,10,9,8,7,7,17,20,19,18,16,17,16,21,17
678725,11,10,9,10,12,12,14,13,14,16,12,14,12,8,9,9,10,8,8,9,10
733338,0,0,0,7,8,9,5,3,5,2,4,2,0,0,0,0,0,0,0,0,0
900503,0,0,0,13,12,10,7,0,0,7,0,0,26,15,10,12,10,9,10,0,10
996140,0,0,0,4,3,4,4,4,4,0,0,0,6,6,6,6,6,6,6,6,6
1385693,0,0,0,8,8,6,1,0,0,1,0,0,12,8,6,7,4,3,6,0,6
1488186,0,0,0,4,2,2,0,0,0,0,0,0,5,2,5,2,6,2,0,3,2
1654966,1,0,0,7,7,5,3,0,1,2,3,2,7,4,6,6,5,8,9,7,3
1800596,25,26,24,16,16,17,20,15,9,4,4,6,0,0,0,0,0,0,0,0,0
1808422,1,0,0,7,2,3,0,0,0,0,0,0,15,21,30,27,29,23,30,27,30
1809296,0,0,0,1,3,2,0,0,0,0,0,0,6,6,5,6,4,6,2,3,1
1818671,6,6,6,8,10,8,10,9,12,9,6,7,8,7,8,5,8,7,7,8,9
1822783,3,2,1,3,2,2,4,4,3,0,0,0,6,4,4,5,3,3,3,4,4
1837890,1,0,0,3,3,4,0,0,0,0,0,0,5,3,3,4,5,4,6,4,5
1958375,5,4,3,7,6,6,8,7,9,4,1,3,8,5,6,6,5,5,4,6,6
1963894,1,0,0,4,4,4,0,0,0,0,0,0,5,4,5,3,4,4,7,4,3
1967039,1,2,1,9,10,10,7,7,6,5,5,5,11,12,13,11,11,12,16,15,16
