"","unenriched1","unenriched2","unenriched3","vk1","vk2","vk3"
"86769",18,20,21,0,0,0
"202956",20,23,27,23,18,20
"209005",39,35,40,11,17,0
"318873",23,28,30,16,16,14
"374028",20,16,18,0,0,0
"496339",33,36,29,0,0,0
"507999",30,35,29,0,0,0
"645785",56,51,54,12,11,4
"678725",29,27,27,4,11,12
"733338",0,0,0,24,13,8
"900503",51,31,20,35,7,7
"996140",18,18,18,11,12,0
"1385693",26,14,12,22,1,1
"1488186",12,10,5,8,0,0
"1654966",17,19,19,18,3,6
"1800596",0,0,0,0,0,0
"1808422",66,79,87,11,0,0
"1809296",17,16,6,6,0,0
"1818671",23,20,24,8,13,4
"1822783",14,11,11,1,5,0
"1837890",11,13,15,9,0,0
"1958375",19,16,16,7,12,0
"1963894",14,11,14,11,0,0
"1967039",36,34,47,25,16,11
"1997049",18,21,27,10,10,14
"2006932",17,12,12,12,6,0
"2008440",99,117,118,3,1,0
"2010475",12,15,12,3,0,2
"2010944",16,12,12,13,6,0
"2011772",23,27,15,8,0,2
"2018232",17,12,12,12,6,0
"2022201",44,46,62,28,26,26
"2057470",37,31,35,9,18,0
"2058497",14,11,11,1,5,0
"2064818",19,6,4,9,0,1
"2078088",12,10,11,0,0,0
"2079775",12,12,3,5,0,0
"2105368",11,13,13,9,0,0
"2114380",0,0,0,33,46,13
"2120552",66,79,87,11,0,0
"2154348",10,10,11,0,0,0
"2159483",23,31,39,21,15,14
"2160032",13,18,21,15,10,14
"2163256",6,10,6,9,4,7
"2287574",11,8,7,0,0,0
"2320559",23,26,30,19,17,13
"2342451",20,23,27,16,16,20
"2357132",18,20,16,12,15,12
"2399443",12,15,18,16,5,0
"2410456",11,13,15,9,0,0
"2412693",12,19,23,10,10,14
"2429252",33,24,22,22,1,1
"2433827",27,11,8,17,1,1
"2433984",45,29,20,35,7,7
"2466433",9,3,4,9,0,1
"2478382",0,0,0,24,13,8
"2550329",17,19,19,18,3,6
"2559454",12,10,11,0,0,0
"2637551",11,7,3,0,0,0
"2704230",12,20,27,10,10,14
"2717161",17,19,19,18,3,6
"2749207",11,13,13,9,0,0
"2750931",10,6,10,11,9,11
"2752055",16,16,18,12,0,0
"2775482",26,26,25,21,6,6
"2786018",23,25,28,16,13,10
"3448425",11,13,15,9,0,0
"3545035",23,31,31,19,3,6
"3557492",147,124,119,31,35,30
"3585948",5,6,6,12,5,10
"3609855",6,12,3,1,0,0
"3650534",43,34,42,0,0,0
"3675519",0,0,0,12,0,0
"3691661",27,22,26,0,0,0
"3695442",6,7,8,15,1,7
"3704668",13,16,15,9,0,2
"3710169",11,13,13,9,0,0
"3713116",13,11,11,0,0,0
"3723795",27,31,32,24,3,6
"3727004",16,16,14,0,0,0
"3727159",28,29,28,11,5,0
"3727326",10,10,11,0,0,0
"3727736",16,16,6,6,0,0
"3740901",0,0,0,11,19,0
"3762103",28,27,21,11,4,11
"3768840",6,6,2,18,0,0
"3774409",43,54,40,13,0,0
"3774537",11,15,9,0,0,0
"3775835",15,13,14,0,0,0
"3776464",9,11,7,7,0,0
"3776479",55,48,52,19,20,25
"3776630",18,18,15,15,10,11
"3776934",25,33,27,32,41,20
"3789452",13,17,16,9,0,2
"3789453",23,16,18,12,6,0
"3813201",17,12,12,12,6,0
"3822535",0,0,0,0,0,0
"3902762",11,13,13,9,0,0
"3966757",53,47,63,40,28,27
"3966777",8,11,12,0,0,0
"3967585",34,40,36,25,5,6
"3972270",337,364,375,98,65,62
"3991754",23,17,13,8,0,0
"4002072",0,0,0,0,0,0
"4009240",33,50,38,11,0,4
"4012669",5,8,9,7,7,8
"4013051",343,354,354,231,295,222
"4013776",41,40,32,40,36,37
"4039008",11,11,10,8,0,0
"4065097",7,8,6,9,4,7
"4077657",11,13,14,9,0,0
"4079228",18,16,14,12,6,0
"4081737",23,27,15,8,0,2
"4095716",30,25,28,24,24,10
"4096188",18,20,22,0,0,0
"4096855",6,10,7,0,0,0
