"","unenriched1","unenriched2","unenriched3","vk1","vk2","vk3"
"86769",5.49351457681038,5.53553687910584,5.59158305925511,4.452463994667,4.452463994667,4.452463994667
"202956",5.54732825770258,5.61009095821579,5.73524198070581,5.79187883973454,5.77896807719405,5.82090895599255
"209005",5.95014969187072,5.8623421021023,5.9917035440951,5.39550366870913,5.74393162703682,4.452463994667
"318873",5.6226143565321,5.72283746893598,5.80008423366359,5.58116301019825,5.70766096950556,5.60953222468057
"374028",5.54732825770258,5.42555244906211,5.51080179279801,4.452463994667,4.452463994667,4.452463994667
"496339",5.83886927863404,5.88086127982301,5.77891481106417,4.452463994667,4.452463994667,4.452463994667
"507999",5.77861889073504,5.8623421021023,5.77891481106417,4.452463994667,4.452463994667,4.452463994667
"645785",6.21678596514197,6.12725548435562,6.2152222723982,5.43591421828335,5.5029922115411,5.08263126800192
"678725",5.75774405993142,5.70128565514284,5.73524198070581,5.02750267404598,5.5029922115411,5.52759187329789
"733338",4.452463994667,4.452463994667,4.452463994667,5.8187270257022,5.5901953712356,5.33684449244295
"900503",6.14443429640148,5.78490334709946,5.56542882298292,6.07746031358894,5.29702211779968,5.28129456822538
"996140",5.49351457681038,5.48225490642097,5.51080179279801,5.39550366870913,5.54762257329094,4.452463994667
"1385693",5.69245286371258,5.36478040979593,5.32284028766996,5.7643280342463,4.77557883324156,4.7694206114747
"1488186",5.30843054255703,5.22708536317878,5.01919761007174,5.26048298892699,4.452463994667,4.452463994667
"1654966",5.46534598635674,5.50928973054483,5.53852134758802,5.64606184019643,5.00981331571303,5.2212788317339
"1800596",4.452463994667,4.452463994667,4.452463994667,4.452463994667,4.452463994667,4.452463994667
"1808422",6.34974894560712,6.48390330796595,6.62156938339881,5.39550366870913,4.452463994667,4.452463994667
"1809296",5.46534598635674,5.42555244906211,5.07250599935305,5.15446492876417,4.452463994667,4.452463994667
"1818671",5.6226143565321,5.53553687910584,5.66601824208482,5.26048298892699,5.5901953712356,5.08263126800192
"1822783",5.37484386302676,5.26394812488222,5.28680533522446,4.74140722513461,5.16909149392295,4.452463994667
"1837890",5.27296027268734,5.33260325074737,5.42204863831703,5.30814563669226,4.452463994667,4.452463994667
"1958375",5.52082005858685,5.42555244906211,5.45264841467928,5.20949896225932,5.54762257329094,4.452463994667
"1963894",5.37484386302676,5.26394812488222,5.39029982275319,5.39550366870913,4.452463994667,4.452463994667
"1967039",5.89591790673079,5.84350123489375,6.10875922969161,5.84491511524417,5.70766096950556,5.48371027614397
"1997049",5.49351457681038,5.56105344081932,5.73524198070581,5.35301848990926,5.45602357439309,5.60953222468057
"2006932",5.46534598635674,5.29904996773001,5.32284028766996,5.43591421828335,5.23592320396227,4.452463994667
"2008440",6.70983424787342,6.84886281936649,6.91381924159436,4.95127692161617,4.77557883324156,4.452463994667
"2010475",5.30843054255703,5.39572376869165,5.32284028766996,4.95127692161617,4.452463994667,4.89981599993633
"2010944",5.43623873741396,5.29904996773001,5.32284028766996,5.47449959599699,5.23592320396227,4.452463994667
"2011772",5.6226143565321,5.70128565514284,5.42204863831703,5.26048298892699,4.452463994667,4.89981599993633
"2018232",5.46534598635674,5.29904996773001,5.32284028766996,5.43591421828335,5.23592320396227,4.452463994667
"2022201",6.03510251976847,6.0508564417919,6.32644381442502,5.91988510088882,6.02453760526085,5.99705060157926
"2057470",5.91429139931042,5.78490334709946,5.90006358541316,5.30814563669226,5.77896807719405,4.452463994667
"2058497",5.37484386302676,5.26394812488222,5.28680533522446,4.74140722513461,5.16909149392295,4.452463994667
"2064818",5.52082005858685,5.05532090626485,4.96001009393417,5.30814563669226,4.452463994667,4.7694206114747
"2078088",5.30843054255703,5.22708536317878,5.28680533522446,4.452463994667,4.452463994667,4.452463994667
"2079775",5.30843054255703,5.29904996773001,4.89257348637571,5.09433401034707,4.452463994667,4.452463994667
"2105368",5.27296027268734,5.33260325074737,5.35727924406825,5.30814563669226,4.452463994667,4.452463994667
"2114380",4.452463994667,4.452463994667,4.452463994667,6.03460890183467,6.47800544908399,5.56945800777415
"2120552",6.34974894560712,6.48390330796595,6.62156938339881,5.39550366870913,4.452463994667,4.452463994667
"2154348",5.2357079075146,5.22708536317878,5.28680533522446,4.452463994667,4.452463994667,4.452463994667
"2159483",5.6226143565321,5.78490334709946,5.97396398733823,5.7360272830804,5.67004133290627,5.60953222468057
"2160032",5.34233358072648,5.48225490642097,5.59158305925511,5.54697022514142,5.45602357439309,5.60953222468057
