"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gn","gn1","human_mouse","lca","name"
"61528110",499.96705765004,-12.1014347183885,1.2736785147172,-9.50116892022426,2.07547274972337e-21,1.8824537839991e-17,"CTRC","CTRC","True",9606,"sp|Q99895|CTRC_HUMAN Chymotrypsin-C OS=Homo sapiens GN=CTRC PE=1 SV=2"
"62761516",183.481079147544,-10.6566030927843,1.29471321292955,-8.23085992045413,1.85874228865527e-16,8.42939627905165e-13,"EUBREC_0542,BN626_00671,EUR_01830,BN518_02260,ERE_24170","","False",186802,"gi|238922953|ref|YP_002936466.1| putative sugar-binding secreted protein [Eubacterium rectale ATCC 33656]"
"61501749",171.044312447894,-10.5547394968484,1.29724130038411,-8.13629622624804,4.07553910261817e-16,1.23217132202489e-12,"CTRB2,CTRB1","","True",9606,"sp|P17538|CTRB1_HUMAN Chymotrypsinogen B OS=Homo sapiens GN=CTRB1 PE=2 SV=1"
"62194406",186.819418185765,-5.58506009145013,0.69192551344846,-8.07176492685604,6.92891824846321e-16,1.57113221283903e-12,"BN523_03658,BN464_02688,BN711_00733,BN541_01657,BN666_02386,BN507_01274,BN744_02330,BF9343_4169,BN707_02013,BN644_03697,BN669_01998,Bache_0875,BT_2844,Bcop_0431,BN535_03266,BN772_02742,BN594_00431,BF4485,BF638R_4362,BN750_00805,BXY_20240,BN506_02076,BN727_01262","","False",816,"gi|548160108|ref|WP_022385657.1| uncharacterized protein [Bacteroides sp. CAG:462]"
"61592736",142.591740443544,-10.2922083430865,1.30427308756258,-7.89114522198763,2.99425975813088e-15,5.43158720124941e-12,"","","False",NA,"V1.UC40-0_GL0130575  [gene]  locus=scaffold4844_1:4639:8433:- [Complete] codon-table.11"
"22471287",93.9207527789893,10.3560559583757,1.32676124535639,7.80551587154161,5.9258645521436e-15,8.42645789171949e-12,"BOV_A0309,BSUIS_B0344,P423_19575,EKO11_2326,EcolC_2164,O3K_13030,YE105_C3391,ECSF_3345,ECP_1489,EcolC_0200,LY180_07735,CDCO157_1940,NRG857_17475,LY180_18030,UM146_09595,ETEC_1563,NRG857_07375,ETAC_13810,CDCO157_4135,NT01EI_0906,BN643_00983,ECO55CA74_09085,ETEC_3763,gadB2,ECP_3616,ECSE_3786,BCA52141_II0717,ECOK1_3956,UM146_17740,ECO55CA74_20355,O3M_12995,ETAF_2604,O3M_01340,gadA,O3O_12600,UMNK88_4295,APECO78_11190,ECSE_1583,O3O_24360,P423_08265,ECSF_1402,O3K_01310,APECO78_21375,UMNK88_1898,gadB","","False",1224,"gi|446818787|ref|WP_000896043.1| glutamate decarboxylase subunit alpha [Escherichia coli]"
"62502762",132.73779188393,-10.189351703418,1.30736954293697,-7.7937808467894,6.50333023616719e-15,8.42645789171949e-12,"EUBREC_0246,ERE_04540,EUR_31480,BN626_02218","","False",1730,"gi|238922671|ref|YP_002936184.1| hypothetical ABC transporter extracellular binding protein [Eubacterium rectale ATCC 33656]"
"61501313",130.187852112913,-10.1600747756364,1.30823263719456,-7.76625998065928,8.08375440919948e-15,9.16495656142991e-12,"CPB1,Cpb1","","True",314146,"sp|P15086|CBPB1_HUMAN Carboxypeptidase B OS=Homo sapiens GN=CPB1 PE=1 SV=4"
"46363423",123.946438112725,-10.0905186062516,1.31056897812698,-7.69934186956922,1.36768806260813e-14,1.37832563642842e-11,"","","False",NA,"SRS017821.137747-T1-C"
"61499775",486.00029353144,-3.65031710194883,0.476577049949349,-7.65944793677494,1.86734028767059e-14,1.69367764091722e-11,"AMY1A,AMY2A,Amy2,AMY2B,Amy1","","True",314146,"sp|P04745|AMY1_HUMAN Alpha-amylase 1 OS=Homo sapiens GN=AMY1A PE=1 SV=2"
