,gn,gn1,human_mouse,lca,name
86769,CP,CP,False,12234,sp|P03576|CAPSD_TOML Capsid protein OS=Tomato mosaic virus (strain L) GN=CP PE=3 SV=2
202956,,,False,147545,gi|115398299|ref|XP_001214741.1| NADP-specific glutamate dehydrogenase [Aspergillus terreus NIH2624]
209005,,,False,2759,gi|470321721|ref|XP_004349093.1| histone H4 [Capsaspora owczarzaki ATCC 30864]
318873,,,False,741275,gi|599107535|ref|XP_007383258.1| NADP-specific glutamate dehydrogenase [Punctularia strigosozonata HHB-11173 SS5]
374028,,,False,4893,gi|255711186|ref|XP_002551876.1| KLTH0B01958p [Lachancea thermotolerans]
496339,,,False,336963,gi|258570103|ref|XP_002543855.1| translation elongation factor Tu [Uncinocarpus reesii 1704]
507999,,,False,147545,gi|629635120|ref|XP_007786206.1| Elongation factor Tu [Endocarpon pusillum Z07020]
645785,,,False,294747,"gi|255730295|ref|XP_002550072.1| elongation factor Tu, mitochondrial precursor [Candida tropicalis MYA-3404]"
678725,,,False,,SRS050422.210940-T1-C
733338,,,False,28901,"gi|487585773|ref|WP_001724780.1| glyceraldehyde-3-phosphate dehydrogenase A, partial [Salmonella enterica]"
900503,"ACTC1,ACTB,Actb,ACTA2,ACTG1,Actbl2,POTEKP,Actc1,ACTG2,ACTBL2,Acta1,ACTA1,Acta2,Actg1,Actg2",,False,131567,gi|317149961|ref|XP_003190376.1| actin [Aspergillus oryzae RIB40]
996140,,,False,284811,gi|45184967|ref|NP_982685.1| AAR143Wp [Ashbya gossypii ATCC 10895]
1385693,,,False,451864,gi|628834369|ref|XP_007767488.1| actin actin-like protein [Coniophora puteana RWD-64-598 SS2]
1488186,"pflB,LBCZ_1256,LRH_01782,LOCK900_1393,LOCK908_1479",,False,33958,tr|S6C7U6|S6C7U6_LACCA Formate acetyltransferase OS=Lactobacillus casei subsp. casei ATCC 393 GN=LBCZ_1256 PE=3 SV=1
1654966,,,False,1050716,gi|516976855|ref|WP_018194169.1| MULTISPECIES: hypothetical protein [candidate division YNPFFA]
1800596,"ompC,CDCO157_2868,O3M_08320,UM146_05725,A3UG_15830,ECSE_2483,ETEC_2349,ECL_03519,APECO78_14910,O3O_17265,ECO55CA74_13635,O3K_08370",,False,543,gi|541862265|ref|YP_008520265.1| hypothetical protein pS1400_89_0016 [Salmonella enterica subsp. enterica serovar Enteritidis]
1808422,,,False,2763,gi|545703648|ref|XP_005704149.1| elongation factor EF-Tu [Galdieria sulphuraria]
1809296,,,False,130081,gi|545705428|ref|XP_005705034.1| [pt] DNA-directed RNA polymerase subunit [Galdieria sulphuraria]
1818671,,,False,280463,gi|551574015|ref|XP_005772776.1| hypothetical protein EMIHUDRAFT_78418 [Emiliania huxleyi CCMP1516]
1822783,,,False,280463,gi|551553681|ref|XP_005764132.1| hypothetical protein EMIHUDRAFT_247782 [Emiliania huxleyi CCMP1516]
1837890,"PP1Y_AT16019,PP1Y_AT31098",,False,702113,gi|503598772|ref|WP_013832848.1| pyruvate phosphate dikinase [Novosphingobium sp. PP1Y]
1958375,,,False,280463,gi|551575470|ref|XP_005773457.1| hypothetical protein EMIHUDRAFT_435795 [Emiliania huxleyi CCMP1516]
1963894,,,False,5654,gi|401417155|ref|XP_003873071.1| putative pyruvate phosphate dikinase [Leishmania mexicana MHOM/GT/2001/U1103]
1967039,,,False,5654,gi|401425300|ref|XP_003877135.1| putative glutamate dehydrogenase [Leishmania mexicana MHOM/GT/2001/U1103]
